seed1,seed2,model_number,nulleff,var,ests,lower,upper,se
1,0,1,1,i_p,0.7820625,0.7555609375,0.809378125,0.013925945109096054
1,0,1,1,i_m,0.3839999999999999,0.3520562500000001,0.4189484375000001,0.017108685437365982
1,0,1,1,s_p,0.4155,0.3827328125,0.4500703124999999,0.016885992815892654
1,0,1,1,s_m,0.10968749999999998,0.0905609375,0.13456562499999994,0.011006018051740169
1,0,1,1,a_p,0.3665624999999999,0.3340562499999999,0.39794374999999993,0.01666953133179504
1,0,1,1,a_m,0.27431249999999996,0.2441234375000001,0.303196875,0.015377880807200468
1,0,1,1,s_i_p,0.5312874610405178,0.49376312497773506,0.5705051064840473,0.019496718527243974
1,0,1,1,s_i_m,0.28564453125,0.2416959703665185,0.340873062024699,0.02520647293178528
1,0,1,1,a_i_p,0.46871253895948206,0.42949489351595277,0.5062368750222649,0.019496718527243984
1,0,1,1,a_i_m,0.7143554687500001,0.6591269379753012,0.7583040296334814,0.02520647293178526
1,0,1,1,n_i_p,0.7087029489331097,0.6704466407189048,0.7312636599947162,0.015312848002482306
1,0,1,1,n_i_m,0.36669921875000006,0.3223076971941482,0.41853032329265927,0.024570326963455284
1,0,1,1,n_s_p,0.855445246690734,0.8215881718600758,0.8718416275499626,0.012527447645740772
1,0,1,1,n_s_m,0.6404558404558405,0.5574687940405005,0.7147785349720774,0.03926565584273724
1,0,1,1,n_a_p,0.542369991474851,0.4857855498913272,0.5882093896582533,0.0269514220983229
1,0,1,1,n_a_m,0.25723399407609926,0.2046026605616285,0.3203738142585579,0.029302955275855937
1,0,1,1,rmti_p,1.7940363340624814,1.7091276408303362,1.9099388671940314,0.05165115029106943
1,0,1,1,rmti_m,3.0552529158991297,2.956060266216673,3.1408918575868157,0.04617420099776758
1,0,1,1,pcrdur_p,1.6161611270162468,1.5271669952683076,1.6965849858929274,0.043878735859386966
1,0,1,1,pcrdur_m,1.0914408776327285,0.9984977430180864,1.1906764546115323,0.0500851827691853
1,0,1,1,pcrdetect_p,0.7682585406241077,0.7469603029149107,0.7994254871144721,0.013085364212276036
1,0,1,1,pcrdetect_m,0.6784710428460428,0.6463763079802145,0.7206370607690921,0.018641000806259442
1,0,1,1,pe_infec,0.5089906497242869,0.46125959843092473,0.5539806482589493,0.02331428170138804
1,0,1,1,pe_sym,0.7360108303249098,0.6719090385193793,0.786870681025117,0.028934153260903487
1,0,1,1,pe_asym,0.2516624040920715,0.14065842139081564,0.34637212971617265,0.05370197910721582
1,0,1,1,eff_sym_infec,0.5376459114818367,0.44840838127688976,0.6518889980755064,0.05183859519232964
1,0,1,1,eff_n_infec,0.5174230180670669,0.45773693504843527,0.5984951006138596,0.03630896116398408
1,0,1,1,eff_n_sym,0.7486812778882412,0.654264371592753,0.8443000503926572,0.047135471164344196
1,0,1,1,eff_n_asym,0.474277703632921,0.37420302374933895,0.6062152984236822,0.06032048459034823
2,0,1,1,i_p,0.7816249999999999,0.7488125000000001,0.8042562500000001,0.014209438929865474
2,0,1,1,i_m,0.40268750000000003,0.37236874999999997,0.4374562499999999,0.017275654909421657
